id,hip,hd,hr,gl,bf,proper,dist,mag,absmag,spect,ci,x,y,z,bayer,flam,con,comp,comp_primary,base,lum,var
1782,66763,119126,5149,,2    Boo,,102.9866,5.63,0.566,G9III,1.009,-86.052126,-40.602777,39.404254,,2,Boo,1,66551,,51.71303179,
1783,66803,119149,5150,,82    Vir,,156.25,5.03,-0.939,M2III,1.623,-139.516946,-66.257172,-23.642498,,82,Vir,1,66591,,206.8235556,
1784,66936,119425,5159,,84    Vir,,73.0994,5.35,1.03,K1III,1.091,-65.706132,-31.714743,4.510855,,84,Vir,1,66724,,33.72873087,
1785,67057,119605,5165,,83    Vir,,252.5253,5.55,-1.462,G1IV/V,0.805,-217.748168,-106.788163,-70.363736,,83,Vir,1,66845,,334.8112174,
1786,67139,119786,5170,,85    Vir,,106.0445,6.18,1.053,A0V,0.046,-91.413999,-45.370583,-28.81578,,85,Vir,1,66927,,33.02174353,
1787,67153,119756,5168,Gl 525.1,1    Cen,,19.4024,4.23,2.791,F3V,0.39,-14.565089,-7.237099,-10.579613,,1,Cen,1,66941,,6.661929002,
1788,67172,119853,5173,,86    Vir,,124.6883,5.5,0.021,G8III,0.898,-108.988101,-54.303042,-26.831343,,86,Vir,1,66960,,85.42795299,
1789,67231,120198,5187,,84    UMa,,89.0472,5.68,0.932,B9p EuCr,-0.039,-46.293138,-23.230978,72.433886,,84,UMa,1,67019,,36.91475582,CR
1790,67239,120064,5182,,3    Boo,,89.6861,5.97,1.206,F6IV-V,0.523,-72.208038,-36.286093,38.896377,,3,Boo,1,67027,,28.68137713,
1791,67275,120136,5185,Gl 527A,4Tau Boo,,15.6177,4.5,3.532,F7V,0.508,-13.296143,-6.720908,4.685085,Tau,4,Boo,1,67063,Gl 527,3.366665744,
1792,67288,120052,5181,,87    Vir,,207.4689,5.41,-1.175,M2III,1.623,-176.173412,-89.20705,-63.628715,,87,Vir,1,67076,,257.0395783,
1793,67301,120315,5191,,85Eta UMa,Alkaid,31.8674,1.85,-0.667,B3V SB,-0.099,-18.529548,-9.394541,24.164506,Eta,85,UMa,1,67088,,160.9904076,
1794,67457,120323,5192,,2    Cen,,56.1167,4.19,0.445,M5III,1.52,-41.097871,-21.267942,-31.745313,,2,Cen,1,67244,,57.80960474,V806
1795,67459,120477,5200,,5Ups Boo,,80.7754,4.05,-0.486,K5IIIvar,1.52,-69.023958,-35.731771,21.990689,Ups,5,Boo,1,67246,,136.2699197,
1796,67464,120307,5190,,Nu  Cen,Heng,133.8688,3.41,-2.223,B2IV,-0.225,-88.774682,-45.96956,-89.0322,Nu,,Cen,1,67251,,674.8387309,Nu
